Condition,Price,Mileage,Model_Year,Make,Model,Type,OBO,Seller_Status,Vehicle_Tile
Used,11412,16000,2013.0,Harley-Davidson,Touring,Cruiser,False,private seller,Clear
Used,17200,60,2016.0,Harley-Davidson,Touring,Sport Touring,False,private seller,Clear
Used,6575,33142,2009.0,Harley-Davidson,Touring,Touring,False,dealer,Clear
Used,10000,17800,2012.0,Harley-Davidson,Touring,Touring,False,owner,Clear
Used,24900,5548,2010.0,Harley-Davidson,Touring,Touring,False,dealer,Clear
Used,1400,17868,1975.0,Harley-Davidson,Sportster,Other,False,private seller,Clear
Used,5100,2800,2014.0,Harley-Davidson,Touring,Touring,False,private seller,Clear
Used,8000,3000,2015.0,Harley-Davidson,Sportster,Cruiser,False,private seller,Clear
Used,2125,30,1978.0,Harley-Davidson,Touring,Cruiser,False,private seller,Clear
Used,11100,5800,2011.0,Harley-Davidson,Touring,Touring,False,private seller,Clear
Used,1125,55000,2002.0,Harley-Davidson,Other,Touring,False,private seller,Clear
Used,3550,57898,2000.0,Harley-Davidson,Touring,Cruiser,False,dealer,Clear
Used,5500,22102,2008.0,Harley-Davidson,Touring,Touring,False,private seller,Clear
Used,9000,7792,2010.0,Harley-Davidson,Touring,Touring,False,private seller,Clear
Used,8100,9305,1973.0,Harley-Davidson,Other,Other,False,private seller,Clear
Used,14000,1125,2016.0,Harley-Davidson,Softail,Cruiser,False,private seller,Clear
Used,20000,5500,2015.0,Harley-Davidson,Touring,Touring,True,private seller,Clear
New,13000,250,2016.0,Harley-Davidson,Softail,Cruiser,False,private seller,Clear
New,10900,140,2017.0,Harley-Davidson,Touring,Sport Bike,True,private seller,Clear
Used,9999,25405,2005.0,Harley-Davidson,Softail,Other,False,dealer,Clear
Used,26500,13089,2016.0,Harley-Davidson,Touring,Touring,True,private seller,Clear
Used,9850,23546,2003.0,Harley-Davidson,Touring,Touring,False,private seller,Clear
Used,45900,40000,2009.0,Harley-Davidson,Touring,Touring,False,private seller,Clear
Used,10600,3769,2009.0,Harley-Davidson,Touring,Touring,True,private seller,Clear
Used,12000,8700,2008.0,Harley-Davidson,Softail,Other,False,private seller,Clear
Used,20000,16827,2011.0,Harley-Davidson,Other,Other,True,private seller,Clear
Used,25000,15000,2010.0,Harley-Davidson,Touring,Cruiser,False,private seller,Clear
Used,20000,2900,2014.0,Harley-Davidson,Touring,Touring,False,private seller,Clear
Used,11000,15200,2007.0,Harley-Davidson,Touring,Touring,True,private seller,Clear
